city;postal_code;sex;date_of_birth;working;form_of_employment;pyt_1;pyt_2;pyt_3
Siemianowice Śląskie;41-103;f;1982-02-27;True;freelancer;1;0;0
Szczecin;71-541;f;1987-01-27;True;freelancer;1;0;9
Warszawa;00-208;f;1975-10-13;False;;3;1;6
Szczecin;71-888;m;1982-05-22;False;;1;1;5
Białystok;15-539;m;1999-10-21;True;freelancer;0;2;6
Łódź;91-478;m;1999-10-20;True;self-employment;1;0;5
Bielsko-Biała;43-300;m;1998-11-19;False;;0;0;2
Międzyrzec Podlaski;21-560;f;1997-02-05;False;;1;1;7
Bielsko-Biała;43-300;f;1961-12-14;True;full-time;2;2;5
Jaworzno;43-600;f;1991-02-25;False;;3;2;9
Łódź;91-481;f;1968-09-30;False;;1;1;8
Warszawa;04-839;m;1998-01-24;False;;3;2;5
Wrocław;50-510;m;1995-08-13;True;self-employment;2;2;7
Łódź;91-042;m;1976-12-04;True;full-time;2;2;8
Dąbrowa Górnicza;41-300;m;1961-08-06;True;full-time;3;1;4
Łódź;91-089;m;1982-07-31;False;;3;1;1
Białystok;15-461;m;1988-05-03;True;freelancer;3;1;4
Łódź;90-501;m;1960-06-11;False;;0;1;9
Warszawa;00-221;f;1989-08-24;False;;2;0;2
Lublin;20-279;m;1988-08-22;True;full-time;2;0;4
Kielce;25-402;f;1981-01-14;False;;3;1;6
Białystok;15-470;f;1984-08-17;True;self-employment;2;0;1
Warszawa;02-755;m;1982-03-12;False;;3;0;7
Olsztyn;10-953;f;1968-07-13;False;;3;2;2
Białystok;15-900;f;1982-04-28;False;;1;2;2
Koszalin;75-666;m;1961-09-14;True;freelancer;2;1;0
Warszawa;00-227;f;1963-08-10;True;freelancer;1;2;5
Opole;45-443;f;1995-05-20;True;freelancer;1;1;9
Kraków;30-303;m;1959-01-01;False;;2;2;3
Będzin;42-500;f;1959-11-23;False;;2;0;3
Kraków;30-035;f;1986-10-25;True;self-employment;1;2;8
Warszawa;03-737;m;1988-11-23;True;self-employment;2;0;6
Warszawa;00-232;f;1964-10-27;True;self-employment;2;0;3
Redło;78-325;m;1999-10-29;True;full-time;2;1;6
Opole;45-533;m;1959-12-28;False;;1;0;7
Warszawa;04-239;m;1979-11-26;True;self-employment;0;2;8
Łódź;91-812;m;1960-11-04;True;self-employment;2;0;2
Poznań;60-287;f;1988-11-15;False;;0;2;6
Warszawa;03-987;m;1984-06-24;True;freelancer;0;0;7
Kraków;30-074;m;1962-11-13;True;self-employment;1;0;2
Mysłowice;41-404;f;1981-07-13;False;;0;1;3
Płock;09-402;f;1981-01-24;True;freelancer;2;1;5
Białystok;15-445;f;1964-11-25;True;freelancer;3;1;1
Wrocław;54-530;f;1978-08-09;False;;0;1;6
Bydgoszcz;85-473;m;1982-12-07;False;;0;1;7
Jaworzno;43-600;m;1988-07-20;True;freelancer;0;1;7
Łódź;91-865;m;1971-09-19;False;;1;1;8
Warszawa;02-645;m;1996-06-04;False;;2;0;1
Żmigród;55-140;f;1995-04-02;False;;3;2;6
Kraków;31-344;m;1966-08-11;False;;3;0;2
Poznań;61-291;m;1961-03-08;True;self-employment;0;0;1
Kraków;31-916;f;1995-08-13;False;;0;2;0
Kraków;31-034;f;1983-02-02;False;;0;0;4
Szczecin;71-344;m;1976-05-03;False;;2;2;4
Gdynia;81-103;m;1987-02-04;True;full-time;2;2;2
Katowice;40-856;f;1981-09-02;True;self-employment;0;0;2
Kraków;30-499;m;1974-07-24;True;freelancer;3;0;1
Łódź;90-980;f;1958-11-20;True;full-time;1;2;8
Gdynia;81-085;m;1993-04-13;False;;3;0;7
Bielsko-Biała;43-300;m;1983-10-30;True;self-employment;2;2;6
Bielsko-Biała;43-382;m;1994-12-21;True;freelancer;1;0;4
Warszawa;03-362;f;1984-07-30;False;;2;2;3
Wrocław;54-002;m;1988-10-23;False;;3;0;9
Kraków;30-512;f;1981-02-20;True;self-employment;3;1;2
Łódź;93-331;m;1971-11-04;True;self-employment;1;1;6
Bydgoszcz;85-068;f;1969-10-16;False;;1;0;6
Radom;26-610;f;1985-08-29;False;;1;1;3
Borowie;08-412;f;1976-02-08;False;;3;1;3
Warszawa;02-458;f;1958-09-06;True;self-employment;0;2;5
Białystok;15-573;f;1984-05-28;True;self-employment;3;2;3
Szczecin;71-046;m;1997-04-27;True;freelancer;0;2;3
Warszawa;03-159;m;1975-03-10;True;freelancer;2;1;7
Kraków;31-709;f;1982-07-22;True;freelancer;3;1;8
Bytom;41-906;f;1979-01-30;True;full-time;1;2;8
Zawiercie;42-400;m;1988-05-17;True;freelancer;0;1;1
Poznań;61-852;f;1990-09-10;False;;1;1;2
Łódź;90-568;f;1969-08-07;False;;3;0;1
Rzeszów;35-330;f;1974-10-24;False;;0;1;5
Bytom;41-902;m;1958-08-13;True;self-employment;0;0;9
Warszawa;04-186;f;1959-07-25;False;;3;2;9
Wrocław;52-019;m;1978-01-05;True;full-time;3;1;1
Wrocław;50-327;m;1997-02-18;False;;3;2;5
Warszawa;02-929;m;1958-04-22;True;self-employment;2;0;7
Koszalin;75-319;m;1988-07-03;False;;0;1;3
Wrocław;50-353;m;1994-12-18;True;freelancer;3;0;5
Szczecin;71-271;f;1969-02-21;True;freelancer;1;1;2
Bydgoszcz;85-644;f;1962-11-08;False;;0;0;7
Warszawa;02-456;f;1990-03-11;True;freelancer;1;2;6
Katowice;40-085;m;1988-09-09;True;freelancer;2;0;4
Gdynia;81-579;m;1972-06-09;True;full-time;1;1;3
Gdynia;81-509;m;1985-05-21;False;;3;1;6
Warszawa;00-305;f;1959-10-23;False;;2;1;1
Choszczno;73-200;f;1979-02-05;False;;1;2;1
Szczecin;70-502;f;1984-04-18;True;full-time;3;2;7
Szczecin;71-758;m;1974-02-13;False;;3;2;1
Warszawa;00-309;m;1997-10-10;True;freelancer;0;0;8
Gdańsk;80-003;f;1964-01-08;False;;1;1;2
Tczew;83-100;m;1972-01-18;False;;3;2;7
Bydgoszcz;85-791;f;1961-06-20;True;self-employment;0;1;6
Łódź;90-119;m;1976-03-20;False;;1;1;9
Zabrze;41-800;m;1978-01-25;True;full-time;3;0;2
Ostrów Wielkopolski;63-409;f;1998-06-05;False;;1;0;0
Warszawa;04-538;f;1968-09-11;False;;0;0;5
Warszawa;00-317;m;1989-12-11;True;freelancer;1;0;4
Jaworzno;43-600;m;1997-05-17;True;full-time;3;0;9
Warszawa;03-597;m;1977-08-21;False;;1;2;9
Szczecin;70-855;f;1999-02-10;False;;0;1;9
Gliwice;44-121;m;1971-11-15;True;freelancer;3;0;0
Koszalin;75-669;m;1983-10-16;False;;1;1;3
Warszawa/Wesoła;05-077;f;1968-07-19;False;;0;2;1
Katowice;40-750;f;1967-11-12;False;;1;0;6
Gorlice;38-302;m;1986-06-10;True;self-employment;1;0;2
Warszawa;03-690;f;1986-10-13;False;;3;0;2
Kraków;30-898;m;1985-07-06;True;freelancer;0;2;5
Kraków;30-236;m;1990-06-18;False;;2;2;2
Łódź;94-017;f;1991-12-07;True;freelancer;2;1;7
Ruda Śląska;41-711;f;1977-08-10;False;;0;0;9
Warszawa;00-335;f;1971-04-16;False;;3;0;1
Łódź;91-324;m;1983-02-24;True;full-time;1;1;6
Ruda Śląska;41-707;m;1996-06-19;True;freelancer;0;0;2
Opole;45-628;m;1972-03-23;False;;2;2;7
Ciechanów;06-413;f;1980-10-13;True;full-time;3;0;0
Poznań;60-416;m;1983-11-04;True;freelancer;1;2;0
Warszawa;00-341;f;1991-11-22;False;;1;1;3
Szczucin;33-230;f;1978-07-03;False;;1;0;2
Olsztyn;10-224;m;1975-01-05;False;;2;2;8
Koszalin;75-444;m;1992-04-26;False;;3;1;3
Warszawa;03-411;f;1967-08-05;False;;2;1;1
Szczecin;70-776;m;1975-02-11;False;;2;2;7
Warszawa;03-141;f;1996-03-16;True;self-employment;1;1;8
Poznań;60-218;f;1983-10-29;True;freelancer;1;2;9
Wrocław;52-311;f;1985-11-10;True;full-time;3;2;1
Zamostne;84-252;m;1979-05-04;False;;0;1;9
Warszawa;00-351;f;1994-03-12;True;freelancer;1;0;6
Warszawa;02-740;f;1975-04-25;True;freelancer;1;0;4
Rzeszów;35-225;f;1964-08-31;False;;2;1;4
Kędzierzyn-Koźle;47-200;f;1960-08-27;True;full-time;2;1;5
Kraków;31-711;f;1992-04-17;True;freelancer;3;1;0
Poznań;60-406;f;1978-05-04;False;;1;1;6
Warszawa;03-598;m;1975-01-21;False;;1;2;1
Kraków;31-914;f;1968-09-07;False;;2;2;4
Radom;26-610;m;1975-04-16;True;self-employment;1;2;5
Zabrze;41-800;f;1966-09-15;False;;3;1;1
Jaworzno;43-603;f;1990-07-18;False;;3;0;1
Kraków;31-563;f;1963-03-01;True;self-employment;1;1;3
Warszawa;04-529;m;1995-05-08;False;;0;2;2
Białystok;15-506;f;1966-02-08;True;full-time;0;1;9
Szczecin;71-886;m;1983-02-07;False;;2;0;7
Oświęcim;32-606;f;1987-01-29;True;freelancer;2;0;1
Poniszowice;44-172;m;1993-04-05;True;freelancer;1;1;9
Koszalin;75-200;m;1961-08-06;True;freelancer;0;1;8
Lublin;20-384;f;1962-05-15;False;;0;0;8
Olsztyn;10-680;m;1992-08-25;True;full-time;3;0;5
Szczecin;71-714;f;1959-09-13;True;freelancer;1;0;2
Sejny;16-500;f;1959-06-27;True;freelancer;2;2;1
Poznań;61-152;m;1995-10-11;True;full-time;0;1;1
Świętochłowice;41-600;f;1985-05-07;True;full-time;1;1;3
Mysłowice;41-404;f;1988-05-17;True;freelancer;2;1;4
Poznań;60-617;f;1981-08-06;True;freelancer;3;2;7
Kielce;25-530;f;1980-06-08;True;self-employment;2;2;5
Tarnowskie Góry;42-600;m;1970-11-10;False;;1;2;9
Łódź;92-624;m;1994-09-20;True;full-time;2;2;2
Zielona Góra;65-119;f;1992-05-11;True;self-employment;2;2;2
Łódź;93-015;f;1960-10-14;True;self-employment;1;1;8
Supraśl;16-030;f;1971-05-20;True;freelancer;2;2;9
Gdańsk;80-383;m;1983-11-22;False;;3;1;9
Poznań;60-959;f;1975-08-11;False;;1;2;2
Szczecin;70-893;f;1987-09-20;False;;2;2;5
Opole;45-013;f;1971-06-26;False;;0;2;2
Warszawa;04-908;f;1980-09-10;False;;2;0;7
Łódź;91-431;m;1977-04-24;False;;1;2;3
Warszawa;03-736;m;1979-09-08;True;self-employment;2;0;1
Kraków;30-398;m;1976-07-10;True;freelancer;1;0;7
Kielce;25-047;f;1968-10-09;False;;3;2;4
Gdańsk;80-888;m;1983-06-04;True;freelancer;2;1;8
Szczecin;71-669;m;1959-03-03;True;full-time;0;0;2
Opole;45-135;m;1998-10-09;True;self-employment;1;0;3
Warszawa;00-402;m;1983-12-23;False;;2;1;8
Czarna Białostocka;16-020;m;1968-08-28;False;;2;0;9
Lublin;20-626;f;1995-05-09;True;freelancer;2;1;6
Rzeszów;35-205;f;1965-10-14;False;;0;0;4
Poznań;61-749;m;1973-09-20;True;full-time;3;0;1
Kraków;31-104;f;1981-02-19;True;freelancer;1;2;4
Poznań;61-672;f;1998-12-07;False;;0;1;7
Szczecin;70-855;m;1961-06-13;True;freelancer;3;2;6
Warszawa;00-410;f;1991-10-19;True;full-time;1;2;5
Krutyń;11-737;f;1985-10-27;False;;2;2;2
Warszawa;02-495;m;1992-11-15;False;;2;0;1
Szczecin;71-222;m;1994-06-14;True;full-time;3;1;4
Warszawa;03-376;m;1976-06-16;False;;1;1;5
Warszawa;00-414;m;1972-05-19;False;;1;2;1
Sopot;81-835;m;1986-04-19;False;;2;2;6
Tarnowskie Góry;42-612;m;1969-11-04;True;full-time;2;1;9
Koszalin;75-383;m;1979-08-16;True;self-employment;1;1;1
Bielsko-Biała;43-300;m;1968-09-09;True;full-time;1;1;3
Radom;26-605;f;1987-09-14;False;;0;0;4
Kraków;31-431;f;1987-08-26;True;self-employment;0;2;9
Cyców;21-070;f;1996-01-18;False;;3;1;9
Poznań;60-281;f;1998-01-27;True;self-employment;2;2;0
Białystok;15-156;f;1978-09-05;False;;1;1;2
Gdańsk;80-405;m;1993-11-29;False;;2;0;4
Poznań;60-185;m;1964-12-03;True;full-time;0;2;6
Katowice;40-414;f;1998-11-11;True;self-employment;2;1;2
Rejowiec;22-360;f;1994-12-30;True;freelancer;2;1;5
Szczecin;71-380;f;1974-12-21;True;freelancer;0;1;3
Świdnica;58-102;f;1989-09-09;False;;2;0;8
Poznań;61-628;f;1996-02-13;False;;3;0;9
Szczecin;71-441;m;1978-04-25;False;;1;0;3
Wrocław;51-317;f;1992-09-30;True;full-time;1;1;0
Skokowa;55-130;f;1967-06-20;True;full-time;2;0;4
Poznań;60-681;m;1979-01-01;False;;1;2;9
Katowice;40-748;m;1980-11-13;False;;3;0;8
Warszawa;04-331;f;1974-06-04;True;full-time;2;0;3
Warszawa;00-438;m;1964-06-26;False;;2;1;1
Czernice Borowe;06-415;f;1982-02-08;False;;1;0;8
Gdańsk;80-813;m;1978-11-03;False;;0;1;0
Gdańsk;80-283;m;1992-10-30;False;;1;0;9
Poznań;60-480;f;1977-03-23;False;;0;2;5
Piastów;05-820;m;1972-09-25;False;;3;0;2
Łódź;91-744;m;1990-11-27;True;self-employment;0;2;5
Wola Uhruska;22-230;m;1969-03-17;True;self-employment;1;2;1
Kraków;31-959;f;1958-10-14;True;freelancer;1;2;2
Kraków;31-476;f;1996-11-10;False;;2;2;5
Warszawa/Wesoła;05-077;m;1973-09-17;False;;0;2;9
Lublin;20-258;f;1992-08-09;False;;3;0;5
Wrocław;51-423;f;1959-08-12;False;;1;1;7
Zielona Góra;65-123;f;1960-08-29;True;full-time;3;2;4
Warszawa;04-014;f;1995-01-14;True;self-employment;3;0;3
Szczecin;71-774;m;1959-04-06;True;freelancer;2;0;7
Gdynia;81-267;m;1990-08-17;True;self-employment;0;1;3
Sopot;81-832;m;1989-07-30;True;freelancer;2;1;4
Poznań;60-907;m;1965-12-11;False;;1;1;8
Gdańsk;80-746;m;1998-07-14;False;;1;2;2
Łódź;90-556;m;1987-03-31;True;self-employment;2;1;6
Gdańsk;80-840;f;1984-03-10;False;;1;0;0
Wrocław;53-029;m;1990-02-26;False;;2;1;2
Szczedrzyk;46-042;f;1976-08-29;True;full-time;3;2;5
Sosnowiec;41-200;m;1977-08-31;False;;2;2;9
Poznań;60-919;f;1997-04-11;True;full-time;3;0;2
Kraków;31-036;f;1986-04-04;False;;1;2;9
